,mean,decades,95th_perc,5th_perc,median,change_frombaseline
1,15.431880402964595,1980s,15.695870497083266,15.289226386674624,15.451082504481505,-0.6227630079209732
2,15.727657321699132,1990s,15.925307450000025,15.531410183333358,15.732252455091519,-0.3269860891864358
3,16.220033813603354,2000s,16.51473145000002,15.870006555008588,16.211735835101422,0.1653904027177866
4,16.83900210527519,2010s,17.458289839876254,16.455515077216468,16.84889808550275,0.7843586943896206
5,17.406629833143143,2020s,18.06000460000002,16.69971323844181,17.450056601495636,1.3519864222575748
6,17.805518687899035,2030s,18.55344188333336,17.18810763298977,17.768479235697164,1.750875277013467
7,17.99277580189313,2040s,18.837611516666684,17.287284732378414,17.99953883333335,1.9381323910075636
8,18.100599561080806,2050s,18.96253558333335,17.326922567552057,18.143463166666685,2.045956150195238
9,18.17438764120674,2060s,19.23788823333335,17.311237047587383,18.22879900000002,2.119744230321171
10,18.19754167919008,2070s,19.325623750000016,17.273238116666693,18.134725000000024,2.1428982683045135
11,18.15896276386106,2080s,19.393717883333352,17.233695916131587,18.044565333333352,2.104319352975491
12,18.089497900753333,2090s,19.444416357361963,17.188880515494226,17.917278903641847,2.034854489867765
